BranchNum,BranchName,Date,AverageHumidity,MinimumHumidity
108,서울,2023-06-01,66.9,56.0
108,서울,2023-06-02,77.4,59.0
108,서울,2023-06-03,60.1,31.0
108,서울,2023-06-04,61.0,28.0
108,서울,2023-06-05,66.9,47.0
108,서울,2023-06-06,72.9,50.0
108,서울,2023-06-07,75.3,63.0
108,서울,2023-06-08,80.5,65.0
108,서울,2023-06-09,64.0,32.0
108,서울,2023-06-10,70.0,48.0
108,서울,2023-06-11,76.1,53.0
108,서울,2023-06-12,70.5,47.0
108,서울,2023-06-13,70.0,50.0
108,서울,2023-06-14,80.3,53.0
108,서울,2023-06-15,70.8,50.0
108,서울,2023-06-16,64.4,45.0
108,서울,2023-06-17,57.1,39.0
108,서울,2023-06-18,60.5,43.0
108,서울,2023-06-19,57.8,42.0
108,서울,2023-06-20,64.5,51.0
108,서울,2023-06-21,92.6,83.0
108,서울,2023-06-22,77.1,61.0
108,서울,2023-06-23,76.6,50.0
108,서울,2023-06-24,70.5,55.0
108,서울,2023-06-25,64.9,47.0
108,서울,2023-06-26,88.6,59.0
108,서울,2023-06-27,73.1,51.0
108,서울,2023-06-28,77.4,60.0
108,서울,2023-06-29,95.4,85.0
108,서울,2023-06-30,89.8,72.0
108,서울,2023-07-01,76.9,58.0
108,서울,2023-07-02,79.5,64.0
108,서울,2023-07-03,72.0,40.0
108,서울,2023-07-04,86.8,68.0
108,서울,2023-07-05,82.6,68.0
108,서울,2023-07-06,70.9,56.0
108,서울,2023-07-07,64.9,46.0
108,서울,2023-07-08,76.5,64.0
108,서울,2023-07-09,86.4,78.0
108,서울,2023-07-10,80.4,58.0
108,서울,2023-07-11,92.4,79.0
108,서울,2023-07-12,86.4,72.0
108,서울,2023-07-13,95.0,84.0
108,서울,2023-07-14,99.1,96.0
108,서울,2023-07-15,93.5,85.0
108,서울,2023-07-16,89.5,80.0
108,서울,2023-07-17,86.1,76.0
108,서울,2023-07-18,87.9,75.0
108,서울,2023-07-19,78.8,55.0
108,서울,2023-07-20,74.0,51.0
108,서울,2023-07-21,69.6,48.0
108,서울,2023-07-22,73.9,51.0
108,서울,2023-07-23,94.3,87.0
108,서울,2023-07-24,83.1,69.0
108,서울,2023-07-25,80.5,68.0
108,서울,2023-07-26,80.9,69.0
108,서울,2023-07-27,78.1,59.0
108,서울,2023-07-28,72.4,52.0
108,서울,2023-07-29,72.1,52.0
108,서울,2023-07-30,72.5,49.0
108,서울,2023-07-31,76.3,60.0
108,서울,2024-06-01,61.3,34.0
108,서울,2024-06-02,51.9,36.0
108,서울,2024-06-03,47.4,29.0
108,서울,2024-06-04,42.1,29.0
108,서울,2024-06-05,53.9,36.0
108,서울,2024-06-06,54.3,31.0
108,서울,2024-06-07,54.3,40.0
108,서울,2024-06-08,79.5,58.0
108,서울,2024-06-09,68.9,47.0
108,서울,2024-06-10,66.3,44.0
108,서울,2024-06-11,62.4,40.0
108,서울,2024-06-12,60.8,35.0
108,서울,2024-06-13,51.4,28.0
108,서울,2024-06-14,56.0,35.0
108,서울,2024-06-15,72.3,55.0
108,서울,2024-06-16,58.4,38.0
108,서울,2024-06-17,48.4,28.0
108,서울,2024-06-18,59.5,35.0
108,서울,2024-06-19,54.3,32.0
108,서울,2024-06-20,45.1,27.0
108,서울,2024-06-21,49.8,34.0
108,서울,2024-06-22,80.6,59.0
108,서울,2024-06-23,79.5,59.0
108,서울,2024-06-24,70.4,45.0
108,서울,2024-06-25,61.9,42.0
108,서울,2024-06-26,61.0,38.0
108,서울,2024-06-27,55.0,38.0
108,서울,2024-06-28,54.6,35.0
108,서울,2024-06-29,65.1,44.0
108,서울,2024-06-30,88.5,80.0
108,서울,2024-07-01,69.1,47.0
108,서울,2024-07-02,90.0,77.0
108,서울,2024-07-03,80.3,70.0
108,서울,2024-07-04,74.8,56.0
108,서울,2024-07-05,80.5,67.0
108,서울,2024-07-06,84.1,73.0
108,서울,2024-07-07,85.1,68.0
108,서울,2024-07-08,93.4,89.0
108,서울,2024-07-09,86.9,78.0
108,서울,2024-07-10,77.1,57.0
108,서울,2024-07-11,79.6,66.0
108,서울,2024-07-12,79.5,59.0
108,서울,2024-07-13,70.0,40.0
108,서울,2024-07-14,65.9,54.0
108,서울,2024-07-15,64.6,55.0
108,서울,2024-07-16,78.4,62.0
108,서울,2024-07-17,91.6,76.0
108,서울,2024-07-18,95.3,89.0
108,서울,2024-07-19,80.1,60.0
108,서울,2024-07-20,80.4,67.0
108,서울,2024-07-21,83.6,72.0
108,서울,2024-07-22,89.0,81.0
108,서울,2024-07-23,87.9,80.0
108,서울,2024-07-24,85.0,71.0
108,서울,2024-07-25,79.8,64.0
108,서울,2024-07-26,81.9,65.0
108,서울,2024-07-27,83.6,68.0
108,서울,2024-07-28,76.0,59.0
108,서울,2024-07-29,84.0,80.0
108,서울,2024-07-30,78.8,66.0
108,서울,2024-07-31,74.5,59.0