Date,AverageHumidity,MinimumHumidity,TotalSunHours,SunshineDurationRate,TotalSolarRadiation,AvgTemp,MaxTemp,MaxTempTime,MinTemp,MinTempTime,TempRange
2023-06-01,66.9,56.0,2.2,15.1,15.18,22.8,26.3,17:07,19.7,05:28,6.6
2023-06-02,77.4,59.0,5.2,35.6,14.24,20.4,25.0,16:48,17.9,06:01,7.1
2023-06-03,60.1,31.0,13.3,91.1,31.19,22.0,27.8,14:23,16.6,06:07,11.2
2023-06-04,61.0,28.0,11.1,76.0,28.74,22.1,28.0,16:27,16.9,05:37,11.1
2023-06-05,66.9,47.0,10.9,74.7,26.6,21.5,26.3,15:32,17.6,05:32,8.7
2023-06-06,72.9,50.0,7.9,53.7,21.98,20.3,25.2,13:35,17.3,05:37,7.9
2023-06-07,75.3,63.0,1.0,6.8,10.07,21.4,25.7,17:23,18.9,03:32,6.8
2023-06-08,80.5,65.0,0.9,6.1,10.19,20.4,23.9,16:13,18.3,23:39,5.6
2023-06-09,64.0,32.0,11.8,80.3,28.15,23.3,28.4,16:46,18.3,05:24,10.1
2023-06-10,70.0,48.0,5.6,38.1,18.18,23.2,28.5,12:48,19.6,23:32,8.9
2023-06-11,76.1,53.0,6.4,43.5,21.1,22.1,27.3,17:10,17.9,04:22,9.4
2023-06-12,70.5,47.0,6.7,45.6,19.9,22.2,27.5,13:53,18.4,06:10,9.1
2023-06-13,70.0,50.0,9.9,67.3,25.43,22.0,26.0,13:13,19.2,05:56,6.8
2023-06-14,80.3,53.0,4.2,28.4,13.12,20.6,25.0,12:58,17.5,05:08,7.5
2023-06-15,70.8,50.0,8.8,59.5,25.05,22.7,28.3,15:16,17.7,05:45,10.6
2023-06-16,64.4,45.0,12.5,84.5,29.89,23.7,28.9,15:35,19.1,05:01,9.8
2023-06-17,57.1,39.0,10.8,73.0,27.4,24.2,30.2,15:15,18.9,05:40,11.3
2023-06-18,60.5,43.0,12.3,83.1,28.79,25.9,32.6,16:36,20.8,05:18,11.8
2023-06-19,57.8,42.0,11.0,74.3,25.29,28.5,34.0,14:55,23.3,03:53,10.7
2023-06-20,64.5,51.0,0.0,0.0,5.89,24.7,26.4,10:40,21.4,23:56,5.0
2023-06-21,92.6,83.0,0.0,0.0,4.79,20.5,22.1,15:22,19.2,03:44,2.9
2023-06-22,77.1,61.0,6.9,46.6,21.48,22.5,26.4,15:29,18.9,05:24,7.5
2023-06-23,76.6,50.0,5.3,35.8,18.74,24.4,29.9,16:50,20.0,03:09,9.9
2023-06-24,70.5,55.0,9.7,65.5,21.93,26.4,31.1,15:40,21.9,05:14,9.2
2023-06-25,64.9,47.0,8.7,58.8,23.62,28.2,33.1,15:29,22.8,05:45,10.3
2023-06-26,88.6,59.0,0.0,0.0,3.39,24.2,27.5,00:01,22.3,06:06,5.2
2023-06-27,73.1,51.0,6.8,45.9,20.95,25.3,29.1,16:57,21.4,05:25,7.7
2023-06-28,77.4,60.0,3.8,25.7,18.56,26.5,30.1,14:53,24.2,04:47,5.9
2023-06-29,95.4,85.0,0.0,0.0,2.31,24.2,25.9,00:07,23.2,23:43,2.7
2023-06-30,89.8,72.0,1.4,9.5,10.02,25.3,29.1,16:03,23.2,00:01,5.9
2023-07-01,76.9,58.0,12.4,84.4,29.21,27.7,32.9,14:59,23.3,03:21,9.6
2023-07-02,79.5,64.0,4.3,29.3,19.16,26.7,30.6,16:17,23.5,05:43,7.1
2023-07-03,72.0,40.0,8.8,59.9,25.34,29.1,34.9,16:16,24.1,05:24,10.8
2023-07-04,86.8,68.0,0.0,0.0,6.08,26.1,29.2,12:39,24.5,20:04,4.7
2023-07-05,82.6,68.0,4.5,30.6,19.96,24.5,27.1,13:08,22.1,06:48,5.0
2023-07-06,70.9,56.0,8.8,59.9,25.47,27.3,31.8,14:35,22.4,05:45,9.4
2023-07-07,64.9,46.0,8.7,59.2,23.96,26.7,31.4,14:47,23.3,23:45,8.1
2023-07-08,76.5,64.0,1.6,11.0,13.93,25.6,29.7,15:41,22.4,03:46,7.3
2023-07-09,86.4,78.0,1.1,7.5,8.07,24.7,27.0,08:49,21.6,12:08,5.4
2023-07-10,80.4,58.0,5.9,40.4,18.41,26.3,30.9,15:18,22.9,06:26,8.0
2023-07-11,92.4,79.0,0.0,0.0,2.21,23.5,25.9,08:07,21.6,17:33,4.3
2023-07-12,86.4,72.0,1.2,8.2,12.34,25.8,29.1,15:52,22.0,00:01,7.1
2023-07-13,95.0,84.0,0.0,0.0,2.63,25.2,26.5,09:43,24.7,12:15,1.8
2023-07-14,99.1,96.0,0.0,0.0,1.52,24.6,25.1,10:26,23.9,02:06,1.2
2023-07-15,93.5,85.0,0.0,0.0,3.16,24.5,25.7,12:11,23.7,23:58,2.0
2023-07-16,89.5,80.0,0.0,0.0,5.31,24.6,25.4,17:45,23.7,00:01,1.7
2023-07-17,86.1,76.0,0.4,2.8,10.78,25.5,27.8,14:37,23.7,04:46,4.1
2023-07-18,87.9,75.0,2.0,13.8,7.94,25.2,27.7,17:21,24.1,05:27,3.6
2023-07-19,78.8,55.0,11.5,79.9,26.41,27.2,32.4,16:29,22.5,05:27,9.9
2023-07-20,74.0,51.0,9.9,68.8,24.17,27.9,32.8,15:47,24.0,05:49,8.8
2023-07-21,69.6,48.0,10.2,70.8,23.64,29.5,34.3,16:28,24.6,05:54,9.7
2023-07-22,73.9,51.0,6.4,44.4,17.66,27.7,32.5,12:27,24.6,21:42,7.9
2023-07-23,94.3,87.0,0.0,0.0,2.37,25.2,25.8,15:15,24.5,07:52,1.3
2023-07-24,83.1,69.0,3.2,22.4,14.08,26.9,30.0,15:27,24.6,05:21,5.4
2023-07-25,80.5,68.0,3.5,24.5,16.84,27.8,30.5,14:32,25.8,04:28,4.7
2023-07-26,80.9,69.0,3.0,21.0,15.79,27.6,31.1,15:39,24.9,06:06,6.2
2023-07-27,78.1,59.0,6.8,47.6,18.25,28.4,32.2,13:00,24.4,05:39,7.8
2023-07-28,72.4,52.0,9.5,66.9,23.36,29.5,34.1,14:16,25.4,05:36,8.7
2023-07-29,72.1,52.0,6.8,47.9,18.5,29.1,33.3,15:27,26.1,04:42,7.2
2023-07-30,72.5,49.0,9.1,64.1,21.99,28.8,34.9,15:55,24.9,05:50,10.0
2023-07-31,76.3,60.0,6.5,46.1,20.26,28.7,33.4,14:40,25.6,00:03,7.8
2024-06-01,61.3,34.0,9.4,64.4,27.02,20.7,25.2,15:20,17.5,05:29,7.7
2024-06-02,51.9,36.0,12.4,84.9,28.7,20.4,25.8,15:51,15.7,05:51,10.1
2024-06-03,47.4,29.0,11.2,76.7,29.95,22.2,28.7,16:03,15.7,05:20,13.0
2024-06-04,42.1,29.0,13.5,92.5,31.17,22.8,29.3,16:07,16.3,05:27,13.0
2024-06-05,53.9,36.0,10.4,70.7,25.14,23.6,30.1,14:03,18.1,05:17,12.0
2024-06-06,54.3,31.0,9.3,63.3,24.47,24.1,31.4,16:11,19.3,06:02,12.1
2024-06-07,54.3,40.0,7.1,48.3,20.41,23.1,28.0,15:38,18.3,05:44,9.7
2024-06-08,79.5,58.0,2.5,17.0,9.7,20.3,25.0,17:30,17.9,04:48,7.1
2024-06-09,68.9,47.0,12.3,83.7,28.38,22.9,28.8,14:56,17.4,05:55,11.4
2024-06-10,66.3,44.0,11.9,81.0,26.57,24.7,31.1,15:09,19.0,05:31,12.1
2024-06-11,62.4,40.0,10.2,69.4,27.17,25.4,31.6,15:42,21.7,23:59,9.9
2024-06-12,60.8,35.0,11.3,76.9,27.73,24.8,31.8,14:23,19.2,05:17,12.6
2024-06-13,51.4,28.0,13.3,90.5,29.8,26.4,32.8,15:44,20.0,05:04,12.8
2024-06-14,56.0,35.0,9.1,61.5,24.24,26.3,33.0,14:25,21.4,05:32,11.6
2024-06-15,72.3,55.0,3.4,23.0,15.71,24.2,28.2,16:29,21.8,04:45,6.4
2024-06-16,58.4,38.0,13.2,89.2,30.02,24.3,29.5,14:48,19.9,05:35,9.6
2024-06-17,48.4,28.0,13.1,88.5,28.17,24.8,30.2,14:48,18.9,05:27,11.3
2024-06-18,59.5,35.0,13.4,90.5,29.22,26.0,32.9,15:09,20.4,05:44,12.5
2024-06-19,54.3,32.0,13.0,87.8,28.25,28.8,35.8,16:23,21.4,05:09,14.4
2024-06-20,45.1,27.0,12.1,81.8,25.99,29.4,35.4,13:48,23.4,05:18,12.0
2024-06-21,49.8,34.0,10.3,69.6,24.75,28.1,33.9,13:04,22.9,05:13,11.0
2024-06-22,80.6,59.0,0.0,0.0,3.59,24.2,26.1,08:33,22.6,12:48,3.5
2024-06-23,79.5,59.0,3.8,25.7,18.84,25.1,30.1,14:02,22.5,03:33,7.6
2024-06-24,70.4,45.0,7.0,47.3,19.62,24.3,27.9,13:08,21.2,23:53,6.7
2024-06-25,61.9,42.0,10.7,72.3,25.24,22.9,27.2,14:31,19.1,05:59,8.1
2024-06-26,61.0,38.0,12.3,83.1,27.64,24.9,31.6,16:40,18.9,06:08,12.7
2024-06-27,55.0,38.0,9.3,62.8,23.84,26.3,31.6,13:00,20.6,05:37,11.0
2024-06-28,54.6,35.0,13.2,89.2,28.84,26.6,32.5,14:49,21.3,05:36,11.2
2024-06-29,65.1,44.0,6.9,46.9,20.46,26.7,32.3,14:08,21.6,05:29,10.7
2024-06-30,88.5,80.0,0.0,0.0,3.89,23.5,24.9,16:40,22.0,09:47,2.9
2024-07-01,69.1,47.0,8.3,56.5,24.69,26.3,31.3,15:37,22.0,05:06,9.3
2024-07-02,90.0,77.0,0.0,0.0,1.93,23.2,25.2,00:01,21.9,12:14,3.3
2024-07-03,80.3,70.0,0.6,4.1,8.91,24.7,25.9,11:52,23.6,07:35,2.3
2024-07-04,74.8,56.0,3.4,23.1,18.81,26.8,30.6,14:59,23.2,06:20,7.4
2024-07-05,80.5,67.0,1.4,9.5,11.25,23.4,26.1,16:55,21.3,05:10,4.8
2024-07-06,84.1,73.0,0.1,0.7,6.84,25.1,30.0,14:20,22.1,05:42,7.9
2024-07-07,85.1,68.0,0.6,4.1,11.09,24.4,28.2,13:27,21.5,05:14,6.7
2024-07-08,93.4,89.0,0.0,0.0,3.36,23.8,24.5,15:35,23.1,20:32,1.4
2024-07-09,86.9,78.0,0.1,0.7,7.77,24.5,26.7,13:17,22.7,05:13,4.0
2024-07-10,77.1,57.0,7.1,48.6,20.04,26.6,31.1,13:26,22.7,05:17,8.4
2024-07-11,79.6,66.0,5.9,40.4,21.74,25.7,28.9,15:31,23.3,23:54,5.6
2024-07-12,79.5,59.0,3.7,25.3,13.33,25.6,30.2,16:19,21.8,05:50,8.4
2024-07-13,70.0,40.0,9.9,68.3,23.54,28.1,33.3,15:44,23.5,05:50,9.8
2024-07-14,65.9,54.0,7.6,52.4,22.34,28.4,32.1,16:54,24.9,06:54,7.2
2024-07-15,64.6,55.0,6.3,43.4,18.13,28.4,31.3,16:33,24.5,05:24,6.8
2024-07-16,78.4,62.0,4.2,29.0,12.32,27.0,30.7,12:27,24.6,23:46,6.1
2024-07-17,91.6,76.0,0.1,0.7,3.48,25.4,28.1,13:45,24.1,03:55,4.0
2024-07-18,95.3,89.0,0.0,0.0,2.47,24.3,25.6,00:01,23.1,08:13,2.5
2024-07-19,80.1,60.0,6.4,44.4,21.69,27.0,30.8,14:54,24.2,04:40,6.6
2024-07-20,80.4,67.0,1.9,13.2,13.42,27.2,30.6,15:47,25.1,04:43,5.5
2024-07-21,83.6,72.0,1.5,10.4,11.48,26.5,29.8,18:08,22.5,04:51,7.3
2024-07-22,89.0,81.0,0.0,0.0,4.09,26.6,27.9,00:01,24.3,11:04,3.6
2024-07-23,87.9,80.0,0.0,0.0,4.92,26.4,27.3,15:17,25.8,04:54,1.5
2024-07-24,85.0,71.0,3.0,21.0,15.31,28.1,30.9,13:55,26.0,05:46,4.9
2024-07-25,79.8,64.0,2.4,16.8,14.15,28.8,32.2,15:51,25.4,23:56,6.8
2024-07-26,81.9,65.0,6.7,46.9,18.29,28.7,32.7,15:37,25.2,01:37,7.5
2024-07-27,83.6,68.0,1.7,12.0,12.73,28.9,31.7,12:44,27.5,05:46,4.2
2024-07-28,76.0,59.0,5.1,35.9,18.33,29.2,32.2,14:27,27.3,04:45,4.9
2024-07-29,84.0,80.0,0.0,0.0,2.61,27.4,27.8,00:01,26.8,23:56,1.0
2024-07-30,78.8,66.0,3.6,25.5,15.95,28.6,31.9,14:41,26.3,04:59,5.6
2024-07-31,74.5,59.0,4.7,33.3,17.42,29.4,33.3,15:40,27.0,03:21,6.3
